ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
400639, 0.357563685069, 0.312372167863, Cleaver, Democrat, rank-and-file Democrat, 1, 169, 7, 7
412193, 0.389950147958, 0.747989096491, Courtney, Democrat, moderate Democratic leader, 9, 242, 194, 351
400093, 0.271222612248, 0.359755303038, Davis [IL7], Democrat, rank-and-file Democrat, 18, 271, 89, 128
400154, 0.810280588144, 0.937964340432, Goodlatte, Republican, moderate Republican leader, 24, 131, 203, 542
412284, 0.878378388989, 0.883967956892, Jenkins [KS2], Republican, conservative Republican leader, 21, 217, 326, 621
400218, 0.514973915971, 0.51061582199, Kind, Democrat, centrist Democrat, 18, 328, 78, 94
412557, 0.372707244765, 0.38051741344, Kuster, Democrat, rank-and-file Democrat, 16, 324, 82, 101
400240, 0.205477534218, 0.633294003188, Lewis [GA5], Democrat, progressive Democratic leader, 36, 270, 195, 325
400659, 0.713304357439, 0.837910531828, McMorris Rodgers, Republican, moderate Republican leader, 19, 109, 303, 628
400291, 0.453222229624, 0.668633864965, Neal, Democrat, centrist Democratic leader, 13, 116, 294, 592
400309, 0.349006612682, 0.706551499503, Pascrell, Democrat, moderate Democratic leader, 13, 290, 146, 243
412303, 0.729346639756, 1.0, Paulsen, Republican, moderate Republican leader, 26, 140, 412, 1164
412393, 0.693005006472, 0.874742663845, Reed, Republican, moderate Republican leader, 18, 117, 237, 398
412202, 0.753687537404, 0.943138548865, Roskam, Republican, moderate Republican leader, 12, 144, 341, 589
400365, 0.788589906317, 0.831098720291, Sensenbrenner, Republican, moderate Republican leader, 27, 179, 253, 422
412317, 0.807058938055, 0.619941087598, Thompson [PA5], Republican, rank-and-file Republican, 8, 241, 105, 135
400403, 0.402212477173, 0.735336874027, Thompson [CA5], Democrat, centrist Democratic leader, 20, 263, 239, 603
400406, 0.771162478466, 0.879223055884, Tiberi, Republican, moderate Republican leader, 18, 100, 329, 631
412430, 0.789545945992, 0.731933812469, Yoder, Republican, rank-and-file Republican, 3, 144, 166, 184
412312, 0.35058860306, 0.19351392415, Sablan, Democrat, moderate Democratic follower, 4, 129, 1, 1
400041, 0.332343623092, 0.289144143123, Bordallo, Democrat, moderate Democratic follower, 5, 206, 42, 51
412511, 0.206746078249, 0.562276856537, Huffman, Democrat, progressive Democrat, 22, 350, 206, 624
400211, 0.272119039019, 0.452104191199, Kaptur, Democrat, rank-and-file Democrat, 13, 373, 133, 257
412558, 0.295577764768, 0.433147078657, Lujan Grisham, Democrat, rank-and-file Democrat, 34, 335, 176, 341
400259, 0.203361451203, 0.398776352884, McCollum, Democrat, progressive Democrat, 4, 383, 58, 68
412219, 0.28557804018, 0.259110905963, Shea-Porter, Democrat, moderate Democratic follower, 11, 529, 50, 58
400378, 0.169308836763, 0.567886983936, Slaughter, Democrat, progressive Democrat, 10, 417, 140, 260
400047, 0.381931839135, 0.314331742169, Brady [PA1], Democrat, rank-and-file Democrat, 3, 259, 99, 120
412379, 0.156523124428, 0.538665918991, Chu, Democrat, progressive Democrat, 16, 406, 160, 324
400080, 0.11330108576, 0.630461327628, Conyers, Democrat, progressive Democratic leader, 25, 396, 166, 525
400122, 0.305381606523, 0.82973852059, Engel, Democrat, moderate Democratic leader, 31, 327, 320, 817
400163, 0.165317336541, 0.342141577625, Gutiérrez, Democrat, progressive Democrat, 6, 299, 159, 234
400204, 0.297364486129, 0.562059218541, Johnson [TX30], Democrat, rank-and-file Democrat, 11, 232, 132, 197
412199, 0.234759406027, 0.623736643538, Johnson [GA4], Democrat, progressive Democratic leader, 16, 351, 184, 476
400347, 0.236575496678, 0.606041952107, Roybal-Allard, Democrat, progressive Democratic leader, 9, 300, 205, 513
412563, 0.803398670661, 0.664948049093, Collins [NY27], Republican, rank-and-file Republican, 14, 172, 256, 387
412427, 0.827355902222, 0.501740323205, Bucshon, Republican, rank-and-file Republican, 13, 146, 39, 47
412258, 0.259190393965, 0.468686694068, Carson, Democrat, rank-and-file Democrat, 13, 328, 119, 141
